Date : 2023-12-10 11:25:02
Directory : c:\Users\ferna\development\flutter\gymapp\lib
Total : 62 files,  4142 codes, 26 comments, 245 blanks, all 4413 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\app_state.dart                                                                        | Dart     |        310 |          6 |         29 |        345 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\loginscreen.dart                                                                 | Dart     |         56 |          1 |          3 |         60 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\auth\userdata.dart                                                                    | Dart     |         39 |          0 |          1 |         40 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\gymdata.dart                                                                     | Dart     |         28 |          0 |          1 |         29 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\invitedata.dart                                                                  | Dart     |         14 |          0 |          1 |         15 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\membershipdata.dart                                                              | Dart     |         14 |          0 |          1 |         15 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\gyms\messagedata.dart                                                                 | Dart     |         28 |          0 |          1 |         29 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\icontext.dart                                                                 | Dart     |         23 |          0 |          3 |         26 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\mustbeloggedin.dart                                                           | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\adaptivedivider.dart                                           | Dart     |         16 |          0 |          3 |         19 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\birthdayfield.dart                                      | Dart     |         55 |          0 |          5 |         60 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\field.dart                                              | Dart     |         45 |          0 |          3 |         48 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\genderfield.dart                                        | Dart     |         80 |          0 |          4 |         84 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\fields\profilepicpicker.dart                                   | Dart     |        124 |          2 |          4 |        130 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profile_config\profileconfig.dart                                             | Dart     |        137 |          0 |          4 |        141 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase\widgets\profilelisttile.dart                                                          | Dart     |         88 |          0 |          4 |         92 |
| c:\Users\ferna\development\flutter\gymapp\lib\firebase_options.dart                                                                          | Dart     |         64 |         12 |          6 |         82 |
| c:\Users\ferna\development\flutter\gymapp\lib\functions\adaptive_color.dart                                                                  | Dart     |          6 |          0 |          2 |          8 |
| c:\Users\ferna\development\flutter\gymapp\lib\functions\formatduration.dart                                                                  | Dart     |          5 |          0 |          1 |          6 |
| c:\Users\ferna\development\flutter\gymapp\lib\functions\random_string.dart                                                                   | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\ferna\development\flutter\gymapp\lib\functions\showinfodialog.dart                                                                  | Dart     |         21 |          0 |          2 |         23 |
| c:\Users\ferna\development\flutter\gymapp\lib\functions\showprogressdialog.dart                                                              | Dart     |         16 |          0 |          2 |         18 |
| c:\Users\ferna\development\flutter\gymapp\lib\main.dart                                                                                      | Dart     |         42 |          0 |          5 |         47 |
| c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\confirmationdialog.dart                                                     | Dart     |         40 |          0 |          2 |         42 |
| c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\gorouter.dart                                                               | Dart     |         44 |          0 |          2 |         46 |
| c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\icongoroute.dart                                                            | Dart     |         18 |          0 |          2 |         20 |
| c:\Users\ferna\development\flutter\gymapp\lib\navigation\widgets\navigationdrawer.dart                                                       | Dart     |         59 |          0 |          3 |         62 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\gyms_list.dart                                                                 | Dart     |         74 |          1 |          4 |         79 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\choosevaluedialog.dart                                         | Dart     |         90 |          0 |          5 |         95 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\invitesettings.dart                                            | Dart     |        121 |          0 |          4 |        125 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\invite\lengthinputdialog.dart                                         | Dart     |         63 |          0 |          4 |         67 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\settings\settings.dart                                                         | Dart     |         40 |          0 |          4 |         44 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\add_gym.dart                                                           | Dart     |         28 |          0 |          3 |         31 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\creategym.dart                                              | Dart     |        161 |          0 |          5 |        166 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\fields\controllerfield.dart                                 | Dart     |         60 |          0 |          3 |         63 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\create_gym\fields\gympicpicker.dart                                    | Dart     |        132 |          2 |          5 |        139 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\gymmenu.dart                                                  | Dart     |         86 |          0 |          4 |         90 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\my_chats.dart                                      | Dart     |         59 |          0 |          4 |         63 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_page.dart                             | Dart     |         96 |          2 |          6 |        104 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\chat_tile.dart                             | Dart     |         38 |          0 |          2 |         40 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagecard.dart                           | Dart     |         90 |          0 |          4 |         94 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\chat\widgets\messagetyper.dart                          | Dart     |         66 |          0 |          5 |         71 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\demodata.dart                            | Dart     |         44 |          0 |          1 |         45 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemo.dart                        | Dart     |         39 |          0 |          4 |         43 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\exercisedemos.dart                       | Dart     |         88 |          0 |          5 |         93 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\demomaker.dart                | Dart     |        156 |          0 |          5 |        161 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\extraadvice.dart              | Dart     |         45 |          0 |          3 |         48 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\video_viewer.dart             | Dart     |         61 |          0 |          6 |         67 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\videopickfield.dart           | Dart     |        143 |          0 |         10 |        153 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\widgets\tag.dart              | Dart     |         41 |          0 |          3 |         44 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\widgets\videoprogressbar.dart | Dart     |        106 |          0 |          4 |        110 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\interfaces\workareasfield.dart           | Dart     |        101 |          0 |          4 |        105 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\exercise_demos\viewdemodetails.dart                     | Dart     |         76 |          0 |          3 |         79 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\info\gyminfo.dart                                       | Dart     |         75 |          0 |          3 |         78 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\widgets\gym_view.dart                                              | Dart     |        168 |          0 |          4 |        172 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\widgets\optionsbutton.dart                                         | Dart     |         31 |          0 |          3 |         34 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\gymjoinsheet.dart                                             | Dart     |         95 |          0 |          4 |         99 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\join_gym.dart                                                 | Dart     |         77 |          0 |          4 |         81 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\rate_gym.dart                                                   | Dart     |         82 |          0 |          4 |         86 |
| c:\Users\ferna\development\flutter\gymapp\lib\pages\home_page\homepage.dart                                                                  | Dart     |         18 |          0 |          4 |         22 |
| c:\Users\ferna\development\flutter\gymapp\lib\widgets\crawltext.dart                                                                         | Dart     |         63 |          0 |          7 |         70 |
| c:\Users\ferna\development\flutter\gymapp\lib\widgets\infobutton.dart                                                                        | Dart     |         34 |          0 |          3 |         37 |
| Total                                                                                                                                        |          |      4,142 |         26 |        245 |      4,413 |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
